sequence_accession,collection_regionname,collection_countryname,collection_subdiv1name,collection_subdiv2name,host_sciname,host_commonname,date_ymd,date_dec,date_ym,date_y,date_tipdate,Organization
MZ754026,western europe,germany,thüringen,eisenach,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754027,western europe,germany,thüringen,erfurt,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754028,western europe,germany,brandenburg,elbe-elster,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754029,western europe,germany,brandenburg,elbe-elster,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754030,western europe,germany,brandenburg,dahme-spreewald,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754031,western europe,germany,brandenburg,cottbus,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754032,western europe,germany,brandenburg,dahme-spreewald,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754033,western europe,germany,brandenburg,frankfurt (oder),turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754034,western europe,germany,nordrhein-westfalen,essen,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754035,western europe,germany,nordrhein-westfalen,essen,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754036,western europe,germany,thüringen,gotha,turdidae sp.,thrush sp.,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754037,western europe,germany,nordrhein-westfalen,köln,erithacus rubecula,european robin,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754038,western europe,germany,sachsen,dresden,columbidae sp.,pigeon/dove sp.,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754039,western europe,germany,nordrhein-westfalen,essen,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754040,western europe,germany,baden-württemberg,göppingen,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754041,western europe,germany,sachsen-anhalt,mansfeld-südharz,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754042,western europe,germany,sachsen-anhalt,altmarkkreis salzwedel,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754043,western europe,germany,nordrhein-westfalen,essen,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754044,western europe,germany,nordrhein-westfalen,essen,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754045,western europe,germany,sachsen,NA,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754046,western europe,germany,nordrhein-westfalen,essen,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754047,western europe,germany,nordrhein-westfalen,essen,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754048,western europe,germany,nordrhein-westfalen,essen,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754049,western europe,germany,nordrhein-westfalen,essen,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754050,western europe,germany,berlin,NA,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754051,western europe,germany,baden-württemberg,pforzheim,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754052,western europe,germany,baden-württemberg,rems-murr-kreis,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754053,western europe,germany,niedersachsen,nienburg (weser),turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754054,western europe,germany,baden-württemberg,heidelberg,leucopsar rothschildi,bali myna,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754055,western europe,germany,brandenburg,oder-spree,strix nebulosa,great grey owl,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754056,western europe,germany,berlin,NA,cyanistes caeruleus,eurasian blue tit,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754057,western europe,germany,baden-württemberg,heilbronn,cyanistes caeruleus,eurasian blue tit,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754058,western europe,germany,brandenburg,spree-neiße,turdidae sp.,thrush sp.,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754059,western europe,germany,baden-württemberg,heidelberg,passer domesticus,house sparrow,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754060,western europe,germany,brandenburg,cottbus,parus major,great tit,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754061,western europe,germany,brandenburg,spree-neiße,turdidae sp.,thrush sp.,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754062,western europe,germany,thüringen,altenburger land,erythrura prasina,pin-tailed parrotfinch,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754063,western europe,germany,sachsen,leipzig,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754064,western europe,germany,baden-württemberg,rottweil,serinus canaria,island canary,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754065,western europe,germany,baden-württemberg,rottweil,serinus canaria,island canary,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754066,western europe,germany,baden-württemberg,rottweil,serinus canaria,island canary,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ779075,western europe,germany,niedersachsen,cuxhaven,strix nebulosa,great grey owl,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ779076,western europe,germany,berlin,NA,tachyeres sp.,steamer-duck sp.,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
OR141533,western europe,germany,niedersachsen,cuxhaven,surnia ulula,northern hawk owl,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141548,western europe,germany,sachsen-anhalt,magdeburg,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141554,western europe,germany,niedersachsen,schaumburg,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141532,western europe,germany,bayern,nürnberg,strix nebulosa,great grey owl,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141534,western europe,germany,niedersachsen,osnabrück,strix nebulosa,great grey owl,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141535,western europe,germany,bayern,nürnberg,strix nebulosa,great grey owl,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141536,western europe,germany,saarland,regionalverband saarbrücken,turdus merula,eurasian blackbird,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141559,western europe,germany,thüringen,unstrut-hainich-kreis,turdus merula,eurasian blackbird,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141560,western europe,germany,thüringen,saale-holzland-kreis,turdus merula,eurasian blackbird,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141561,western europe,germany,thüringen,eisenach,turdus merula,eurasian blackbird,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141586,western europe,germany,berlin,NA,NA,blue tit,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141587,western europe,germany,baden-württemberg,göppingen,turdus merula,eurasian blackbird,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141588,western europe,germany,nordrhein-westfalen,essen,turdus merula,eurasian blackbird,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141589,western europe,germany,baden-württemberg,heidelberg,passer domesticus,house sparrow,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141593,western europe,germany,nordrhein-westfalen,essen,turdus merula,eurasian blackbird,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141594,western europe,germany,nordrhein-westfalen,essen,turdus merula,eurasian blackbird,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141596,western europe,germany,sachsen,NA,turdus merula,eurasian blackbird,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141598,western europe,germany,berlin,NA,turdus merula,eurasian blackbird,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141604,western europe,germany,niedersachsen,harburg,strix nebulosa,great grey owl,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166135,western europe,germany,nordrhein-westfalen,mönchengladbach,turdus merula,eurasian blackbird,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166137,western europe,germany,nordrhein-westfalen,mönchengladbach,turdus merula,eurasian blackbird,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166139,western europe,germany,niedersachsen,grafschaft bentheim,strix nebulosa,great grey owl,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166143,western europe,germany,nordrhein-westfalen,herford,turdidae sp.,thrush sp.,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166145,western europe,germany,niedersachsen,region hannover,turdus merula,eurasian blackbird,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166147,western europe,germany,nordrhein-westfalen,viersen,turdus merula,eurasian blackbird,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166156,western europe,germany,saarland,regionalverband saarbrücken,fringilla coelebs,common chaffinch,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166157,western europe,germany,bayern,fürstenfeldbruck,turdus merula,eurasian blackbird,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166158,western europe,germany,bayern,dachau,turdus merula,eurasian blackbird,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166159,western europe,germany,mecklenburg-vorpommern,ludwigslust-parchim,turdus merula,eurasian blackbird,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166160,western europe,germany,bayern,nürnberg,sitta europaea,eurasian nuthatch,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166161,western europe,germany,nordrhein-westfalen,soest,turdus merula,eurasian blackbird,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166162,western europe,germany,niedersachsen,region hannover,turdus merula,eurasian blackbird,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166163,western europe,germany,bayern,schwabach,turdus merula,eurasian blackbird,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166164,western europe,germany,bayern,roth,turdus merula,eurasian blackbird,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166165,western europe,germany,niedersachsen,region hannover,turdus merula,eurasian blackbird,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166166,western europe,germany,bayern,eichstätt,turdus merula,eurasian blackbird,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166167,western europe,germany,bayern,münchen,turdus merula,eurasian blackbird,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166168,western europe,germany,bayern,münchen,turdus merula,eurasian blackbird,NA,NA,NA,2017,2017,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141555,western europe,germany,sachsen-anhalt,halle (saale),turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141556,western europe,germany,sachsen-anhalt,stendal,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141557,western europe,germany,thüringen,weimar,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141558,western europe,germany,thüringen,jena,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141562,western europe,germany,thüringen,erfurt,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141563,western europe,germany,brandenburg,oder-spree,strix nebulosa,great grey owl,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141564,western europe,germany,brandenburg,dahme-spreewald,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141565,western europe,germany,brandenburg,frankfurt (oder),turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141566,western europe,germany,nordrhein-westfalen,essen,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141567,western europe,germany,nordrhein-westfalen,essen,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141568,western europe,germany,saarland,neunkirchen,strix nebulosa,great grey owl,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141569,western europe,germany,berlin,NA,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141570,western europe,germany,sachsen,dresden,NA,common wood pigeon,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141571,western europe,germany,thüringen,gotha,turdidae sp.,thrush sp.,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141572,western europe,germany,nordrhein-westfalen,essen,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141573,western europe,germany,sachsen,bautzen,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141574,western europe,germany,brandenburg,elbe-elster,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141575,western europe,germany,brandenburg,elbe-elster,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141576,western europe,germany,brandenburg,dahme-spreewald,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141577,western europe,germany,brandenburg,cottbus,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141578,western europe,germany,sachsen-anhalt,mansfeld-südharz,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141579,western europe,germany,nordrhein-westfalen,essen,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141580,western europe,germany,baden-württemberg,heidelberg,leucopsar rothschildi,bali myna,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141581,western europe,germany,nordrhein-westfalen,essen,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141582,western europe,germany,sachsen-anhalt,altmarkkreis salzwedel,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141583,western europe,germany,niedersachsen,nienburg (weser),turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141584,western europe,germany,baden-württemberg,heilbronn,NA,blue tit,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141585,western europe,germany,brandenburg,cottbus,parus major,great tit,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141590,western europe,germany,baden-württemberg,rems-murr-kreis,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141591,western europe,germany,baden-württemberg,pforzheim,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141592,western europe,germany,brandenburg,oder-spree,strix nebulosa,great grey owl,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141597,western europe,germany,brandenburg,spree-neiße,turdidae sp.,thrush sp.,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141599,western europe,germany,brandenburg,spree-neiße,turdidae sp.,thrush sp.,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141600,western europe,germany,nordrhein-westfalen,hagen,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141601,western europe,germany,niedersachsen,schaumburg,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141602,western europe,germany,niedersachsen,region hannover,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141603,western europe,germany,niedersachsen,harburg,strix nebulosa,great grey owl,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141605,western europe,germany,mecklenburg-vorpommern,rostock,strix nebulosa,great grey owl,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141606,western europe,germany,nordrhein-westfalen,essen,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166136,western europe,germany,nordrhein-westfalen,soest,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166138,western europe,germany,sachsen,dresden,surnia ulula,northern hawk owl,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166140,western europe,germany,niedersachsen,grafschaft bentheim,strix nebulosa,great grey owl,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166141,western europe,germany,niedersachsen,harburg,strix nebulosa,great grey owl,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166142,western europe,germany,nordrhein-westfalen,herford,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166144,western europe,germany,niedersachsen,region hannover,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166146,western europe,germany,niedersachsen,wolfsburg,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166148,western europe,germany,niedersachsen,nienburg (weser),turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166149,western europe,germany,niedersachsen,schaumburg,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166150,western europe,germany,niedersachsen,schaumburg,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166151,western europe,germany,sachsen-anhalt,harz,strix nebulosa,great grey owl,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166152,western europe,germany,nordrhein-westfalen,gelsenkirchen,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166153,western europe,germany,bayern,haßberge,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166154,western europe,germany,bayern,hof,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166155,western europe,germany,mecklenburg-vorpommern,vorpommern-rügen,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR166169,western europe,germany,bayern,neumarkt in der oberpfalz,turdus merula,eurasian blackbird,NA,NA,NA,2018,2018,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
